Site_ID_AOV,Funding_Agency,ROR
1,ADF&G: Alaska Department of Fish and Game,02rh7vj17
2,ADF&G: Alaska Department of Fish and Game,02rh7vj17
3,ADF&G: Alaska Department of Fish and Game,02rh7vj17
4,ADF&G: Alaska Department of Fish and Game,02rh7vj17
5,ADF&G: Alaska Department of Fish and Game,02rh7vj17
6,ADF&G: Alaska Department of Fish and Game,02rh7vj17
7,ADF&G: Alaska Department of Fish and Game,02rh7vj17
8,ADF&G: Alaska Department of Fish and Game,02rh7vj17
9,ADF&G: Alaska Department of Fish and Game,02rh7vj17
10,ADF&G: Alaska Department of Fish and Game,02rh7vj17
11,ADF&G: Alaska Department of Fish and Game,02rh7vj17
12,ADF&G: Alaska Department of Fish and Game,02rh7vj17
13,ADF&G: Alaska Department of Fish and Game,02rh7vj17
14,ADF&G: Alaska Department of Fish and Game,02rh7vj17
15,ADF&G: Alaska Department of Fish and Game,02rh7vj17
16,ADF&G: Alaska Department of Fish and Game,02rh7vj17
17,ADF&G: Alaska Department of Fish and Game,02rh7vj17
18,ADF&G: Alaska Department of Fish and Game,02rh7vj17
19,ADF&G: Alaska Department of Fish and Game,02rh7vj17
20,ADF&G: Alaska Department of Fish and Game,02rh7vj17
21,ADF&G: Alaska Department of Fish and Game,02rh7vj17
22,ADF&G: Alaska Department of Fish and Game,02rh7vj17
23,ADF&G: Alaska Department of Fish and Game,02rh7vj17
24,ADF&G: Alaska Department of Fish and Game,02rh7vj17
25,ADF&G: Alaska Department of Fish and Game,02rh7vj17
26,ADF&G: Alaska Department of Fish and Game,02rh7vj17
27,ADF&G: Alaska Department of Fish and Game,02rh7vj17
28,ADF&G: Alaska Department of Fish and Game,02rh7vj17
29,ADF&G: Alaska Department of Fish and Game,02rh7vj17
30,ADF&G: Alaska Department of Fish and Game,02rh7vj17
31,ADF&G: Alaska Department of Fish and Game,02rh7vj17
32,ADF&G: Alaska Department of Fish and Game,02rh7vj17
33,ADF&G: Alaska Department of Fish and Game,02rh7vj17
34,ADF&G: Alaska Department of Fish and Game,02rh7vj17
35,ADF&G: Alaska Department of Fish and Game,02rh7vj17
36,ADF&G: Alaska Department of Fish and Game,02rh7vj17
37,ADF&G: Alaska Department of Fish and Game,02rh7vj17
38,ADF&G: Alaska Department of Fish and Game,02rh7vj17
39,ADF&G: Alaska Department of Fish and Game,02rh7vj17
40,ADF&G: Alaska Department of Fish and Game,02rh7vj17
41,ADF&G: Alaska Department of Fish and Game,02rh7vj17
42,ADF&G: Alaska Department of Fish and Game,02rh7vj17
43,ADF&G: Alaska Department of Fish and Game,02rh7vj17
44,ADF&G: Alaska Department of Fish and Game,02rh7vj17
45,ADF&G: Alaska Department of Fish and Game,02rh7vj17
46,ADF&G: Alaska Department of Fish and Game,02rh7vj17
47,ADF&G: Alaska Department of Fish and Game,02rh7vj17
48,ADF&G: Alaska Department of Fish and Game,02rh7vj17
49,ADF&G: Alaska Department of Fish and Game,02rh7vj17
50,ADF&G: Alaska Department of Fish and Game,02rh7vj17
