Site_ID_AOV,Proj_Institution,ROR
1,Alaska Department of Fish and Game,02rh7vj17
2,Alaska Department of Fish and Game,02rh7vj17
3,Alaska Department of Fish and Game,02rh7vj17
4,Alaska Department of Fish and Game,02rh7vj17
5,Alaska Department of Fish and Game,02rh7vj17
6,Alaska Department of Fish and Game,02rh7vj17
7,Alaska Department of Fish and Game,02rh7vj17
8,Alaska Department of Fish and Game,02rh7vj17
9,Alaska Department of Fish and Game,02rh7vj17
10,Alaska Department of Fish and Game,02rh7vj17
11,Alaska Department of Fish and Game,02rh7vj17
12,Alaska Department of Fish and Game,02rh7vj17
13,Alaska Department of Fish and Game,02rh7vj17
14,Alaska Department of Fish and Game,02rh7vj17
15,Alaska Department of Fish and Game,02rh7vj17
16,Alaska Department of Fish and Game,02rh7vj17
17,Alaska Department of Fish and Game,02rh7vj17
18,Alaska Department of Fish and Game,02rh7vj17
19,Alaska Department of Fish and Game,02rh7vj17
20,Alaska Department of Fish and Game,02rh7vj17
21,Alaska Department of Fish and Game,02rh7vj17
22,Alaska Department of Fish and Game,02rh7vj17
23,Alaska Department of Fish and Game,02rh7vj17
24,Alaska Department of Fish and Game,02rh7vj17
25,Alaska Department of Fish and Game,02rh7vj17
26,Alaska Department of Fish and Game,02rh7vj17
27,Alaska Department of Fish and Game,02rh7vj17
28,Alaska Department of Fish and Game,02rh7vj17
29,Alaska Department of Fish and Game,02rh7vj17
30,Alaska Department of Fish and Game,02rh7vj17
31,Alaska Department of Fish and Game,02rh7vj17
32,Alaska Department of Fish and Game,02rh7vj17
33,Alaska Department of Fish and Game,02rh7vj17
34,Alaska Department of Fish and Game,02rh7vj17
35,Alaska Department of Fish and Game,02rh7vj17
36,Alaska Department of Fish and Game,02rh7vj17
37,Alaska Department of Fish and Game,02rh7vj17
38,Alaska Department of Fish and Game,02rh7vj17
39,Alaska Department of Fish and Game,02rh7vj17
40,Alaska Department of Fish and Game,02rh7vj17
41,Alaska Department of Fish and Game,02rh7vj17
42,Alaska Department of Fish and Game,02rh7vj17
43,Alaska Department of Fish and Game,02rh7vj17
44,Alaska Department of Fish and Game,02rh7vj17
45,Alaska Department of Fish and Game,02rh7vj17
46,Alaska Department of Fish and Game,02rh7vj17
47,Alaska Department of Fish and Game,02rh7vj17
48,Alaska Department of Fish and Game,02rh7vj17
49,Alaska Department of Fish and Game,02rh7vj17
50,Alaska Department of Fish and Game,02rh7vj17
51,Alaska Department of Fish and Game,02rh7vj17
52,Alaska Department of Fish and Game,02rh7vj17
53,Alaska Department of Fish and Game,02rh7vj17
54,Alaska Department of Fish and Game,02rh7vj17
55,Alaska Department of Fish and Game,02rh7vj17
56,Alaska Department of Fish and Game,02rh7vj17
57,Alaska Department of Fish and Game,02rh7vj17
58,Alaska Department of Fish and Game,02rh7vj17
59,Alaska Department of Fish and Game,02rh7vj17
60,Alaska Department of Fish and Game,02rh7vj17
61,Alaska Department of Fish and Game,02rh7vj17
62,Alaska Department of Fish and Game,02rh7vj17
63,Alaska Department of Fish and Game,02rh7vj17
64,Alaska Department of Fish and Game,02rh7vj17
