Funding_Agency,Funding_Agency_Abbrev,Other ,ROR,ROR_Exist,Funding_Agency_Normalized
ADF&G: Alaska Department of Fish and Game,ADF&G,ADF&G|Alaska Department of Fish and Game,02rh7vj17,Y,Alaska Department of Fish and Game
ASC: Andøya Space Center,ASC,"ASC: Andøya Space Center, ASC, Andøya Space Center (en), AndÃ¸ya Space Center (no)",02q5gf687,Y,Andøya Space Center
AWI: Alfred Wegener Institute for Polar and Marine Research (en),AWI,"AWI, Alfred Wegener Institute for Polar and Marine Research (en), Alfred-Wegener-Institut (de), AWI: Alfred Wegener Institute",032e6b942,Y,Alfred Wegener Institute for Polar and Marine Research (en)
"LATMOS: Atmospheres Laboratory Environments, Observations Spatiales (en)",LATMOS,"French Laboratoire Atmospheres, Milieux, Observation Spatiales, Atmospheres Laboratory Environments, Observations Spatiales (en), LATMOS, Laboratoire Atmospheres Milieux Observation Spatiales",05ppf7q77,Y,"Atmospheres Laboratory Environments, Observations Spatiales (en)"
CRREL: Cold Regions Research and Engineering Laboratory,CRREL,"USA CRREL:  United States Army & Cold Regions Research and Engineering Laboratory, CRREL",05wk0m864,Y,Cold Regions Research and Engineering Laboratory
Cominco,,Cominco Ltd.,0,N,Cominco
ConocoPhillips,,ConocoPhillips,04hadnb81,Y,ConocoPhillips
DMI: Danish Meteorological Institute,DMI,"DMI, Danmarks Meteorologiske Institut (da), DMI: Danish Meteorological Institute",020m6x732,Y,Danish Meteorological Institute
"BEIS: Department for Business Energy and Industrial Strategy",BEIS,"BEIS: UK Department for Business Energy & Industry Strategy, BEIS",019ya6433,Y,"Department for Business, Energy and Industrial Strategy"
ECCC: Environment and Climate Change Canada,ECCC,"ECCC, ECCC, Environnement et Changement Climatique Canada (fr), ECCC:  Environment and Climate Change Canada",026ny0e17,Y,Environment and Climate Change Canada
EPA: Environmental Protection Agency,EPA,,03fkcxa91,Y,Environmental Protection Agency
