Proj_Institution_Normalized,ROR,ROR_Exist,Other
Aarhus University,01aj84f44,Y,"Aarhus University (Denmark)|Aarhus University Department of Bioscience|Department of Bioscience, Aarhus University"
Adam Mickiewicz University in Poznan,04g6bbq64,Y,"Adam Mickiewicz University in Poznan, Faculty of Geographical and Geological Sciences"
"A Gjoa Haven Hunters and Trappers and Queen’s University, Kingston, Ontario, Canada collaboration",0,N,
Agricultural University of Iceland,035s3f323,Y, Agricultural University of Iceland Flux Tower | Agricultural University of Iceland and Icelandic Meteorological Office
Alaska Aviation Weather Unit,0,N,
Alaska Department of Fish and Game,02rh7vj17,Y,Alaska Dept. of Fish and Game | ADF&G
Aleut International Association,040ctp848,Y,
Alfred Wegener Institute for Polar and Marine Research,032e6b942,Y,"Alfred Wegener Institute|Alfred Wegener Institute (AWI)|AWI:  Alfred Wegener Institute|Germany Alfred Wagner Institute, Helmholtz Centre for Polar and Marine Research"
Alpine Research Station Furka (ALPFOR),0,N,
Andøya Space Center,02q5gf687,Y,Andxya Rocket Range|Norwegian Andoya Rocket Range
Arctic and Antarctic Research Institute,051w7zc95,Y,Arctic and Antarctic Research Institute (AARI)
Arctic Institute of North America,0,N,
Arctic Research Center of the Yamal-Nenets Autonomous District,056f5eh80,Y,International Department of the Yamal-Nenets District
"Atmospheres Laboratory Environments, Observations Spatiales",05ppf7q77,Y,"Atmospheres Laboratory Environments| Observations Spatiales (en)| UMR 8190| LATMOS| UMR LATMOS (fr)|LATMOS: Atmospheres Laboratory Environments, Observations Spatiales (en)|Laboratoire Atmospheres, Milieux, Observation Spatiales"
Aurora College,05bn6qf70,Y,Aurora Research Institute
Aurora Flight Sciences (United States),0110df420,Y,Arctic Institute of North America | Aurora Flight Sciences Corporation
Baikal Institute of Nature Management,04850rm18,Y,Baikal Institute of Nature Management of Russian Avademy of Sciences
Battelle,01h5tnr73,Y,Battelle Memorial Institute | Battelle Arctic Research Operations (ARO)
Belgian Institute for Space Aeronomy,03vfw8w96,Y,Belgian Institute for Space Aeronomy
Bigelow Laboratory for Ocean Sciences,03v2r6x37,Y, Bigelow Laboratory | Bigelow Laboratory for Ocean Sciences
Bioforsk – Norwegian Institute for Agricultural and Environmental Research,0,N,Bioforsk | Bioforsk: Norwegian Institute for Agricultural and Environmental Research
Biospherical Instruments (United States),05mytgs27,Y,"Biospherical Instruments, Inc."
Biotechnology and Biological Sciences Research Council,00cwqg982,Y,
The Blyth Institute,04e05my57,Y,Blyth Institute (en) | Blyth UK
Bolin Centre for Climate Research,058zxsr17,Y,"Stockholm University, Bolin Centre for Climate Research"
British Antarctic Survey, 01rhff309,Y, BAS | British Antarctic Survey
Brock University,056am2717,Y,
CAFF Terrestrial Expert Monitoring Group,0,N,
Canada Centre for Remote Sensing,0,N,
Canadian Network for the Detection of Atmospheric Change,0,N,CANDAC
CarboEuroFlux (EU-FP5),0,N,
CarboEurope,0,N,
Chalmers University of Technology,040wg7k59,Y,Chalmers University of Technology | Chalmers (en)
Catholic University of Louvain,02495e989,Y,Université catholique de Louvain
Centre d'applications et de recherches en teledetection,0,N,
"Centre for Ice and Climate, Niels Bohr Institute",0,N,
"Center for Polar ecology, Faculty of Science,",0,N,
Center for Northern Studies,01q8ytn75,Y,CEN: Centre d’études Nordiques
Chinese Academy of Sciences,034t30j35,Y,
Churchill Northern Studies Centre,007r8rq24,Y,
Clark University,04123ky43,Y,"Clark University, Graduate School of Geography"
Cold Regions Research and Engineering Laboratory,05wk0m864,Y,"Cold Regions Research and Engineering Laboratory, Geophysical Sciences Division|Cold Regions Research and Engineering Laboratory, Snow and Ice Division|US Army Corps of Engineers, Cold Regions Research and Engineering Laboratory"
Colorado State University,03k1gpj17,Y,"Colorado State University, Department of Atmospheric Chemistry|Colorado State University, Natural Resource Ecology Laboratory"
Cooperative Institute for Research in Environmental Sciences,00bdqav06,Y, Cooperative Institute for Research in Environmental Sciences (CIRES)
Crop Production Ecology,0,N,
Dalhousie University, 01e6qks80,Y, Dalhousie College (en) | The Governors of Dalhousie College and University (en)
Danish Institute of Agricultural Sciences,0,N,
Danish Meteorological Institute, 020m6x732,Y, Danmarks Meteorologiske Institut (da)| National Danish Meteorological Institute (en)| The National Danish Meteorological Institute (en)| DMI
Dartmouth College,049s0rh22,Y,CRREL: Cold Regions Research and Engineering Laboratory | Dartmouth Thayer School of Engineering|Dartmouth College
Desert Research Institute,02vg22c33,Y,"Desert Research Institute, Division of Hydrologic Sciences"
Deutscher Wetterdienst,02nrqs528,Y,German Meteorological Service (en)| DWD |Deutscher Wetterdienst (DWD)
Differential Absorption Lidar,0,N,
Dresden International University,01t4pxy10,Y,IHM Technical University Dresden
Electrochemical Concentration Cell,0,N,
Energieonderzoek Centrum Nederland (ECN),0,N,
Environment and Climate Change Canada,026ny0e17,Y,ECCC: Environment and Climate Change Canada (ECCC)| Environnement et Changement Climatique Canada (fr)| ECCC| Environment Canada
ETH Zurich,05a28rw58,Y,Institute of Agricultural Sciences
European Space Agency,03wd9za21,Y,Agence Spatiale Européenne (fr)| Agència Espacial Europea (ca)| Europako Espazio Agentzia (ca)| ASE| ESA| ESA: European Space Agency
Fairbanks Command and Data Acquisition Station (FCDAS),0,N,"NASA Terrestrial Ecology Program | National Environmental Satellite, Data, and Information Service (NESDIS) | Fairbanks Command and Data Acquisition Station (FCDAS)"
Faroe Islands National Museum,00ek68a72,Y,Tjóðsavn Føroya (fo)| Tjóðsavnið (is)
Finnish Meteorological Institute,05hppb561,Y,Finnish Meteorological Institute|Finnish Meteorological Institute (FMI)|Finnish Meteorological Institute Flux Tower|Finnish Meterological Institute (FMI)|Finnish Meteorological Institute
Finse Alpine Research Centre,0,N,
Florida International University,02gz6gg07,Y,"Florida International University, Department of Biological Sciences"
Florida State University,05g3dte14,Y,"Florida State University, Earth, Ocean and Atmospheric Science"
Forest research - Environmental Change Research Group,0,N,
Forschungszentrum Jülich,02nv7yv05,Y,Institut fr Energie
Free University of Berlin,046ak2485,Y,Freie Universit d'Berlin
French Polar Institute,011ed2d57,Y, French Polar Institute (en)| IPEV| French Polar Institute Paul Emilie Victor (IPEV)
George Washington University,00y4zzh67,Y,"George Washington University, Dept. of Geography"
GeoSphere Austria,0181cy234,Y,Zentralanstalt für Meteorologie und Geodynamik
German Arctic Research Base,0,N,
German Meteorological Service,02nrqs528,Y,German Meteorological Service (en)| DWD| German Meterological Service (DWD)
Goddard Space Flight Center,0171mag52,Y,NASA GSFC|NASA Goddard Space Flight Center (GSFC)|United States NASA Goddard Space Flight Center
Government of Canada,010q4q527,Y,Centre for Atmposheric Research Experiments|Centre d'applications et de recherches en teledetection
Government of Nunavut,03wf6h922,Y,"Department of Environment, Government of Nunavut"
Grand Valley State University,001m1hv61,Y,"Grand Valley State University, Biology"
Greenland Institute of Natural Resources,0342y5q78,Y,
Harvard University,03vek6s52,Y,"Harvard University, School of Engineering and Applied Sciences"
Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,03qjp1d79,Y,Institute for Coastal Research
Incorporated Research Institutions for Seismology,05xkn9s74,Y,
Institute of Arctic and Alpine Research,00924z688,Y,"University of Colorado, Boulder, Institute of Arctic and Alpine Research"
Institute of Meteorology and Climate Research,0,N,
"Institute of Plant and Animal Ecology, Ural Branch of the Russian Academy of Sciences",03msdt869,Y,"Institute of Plant and Animal Ecology Ural Branch, Russian Academy of Sciences"
Institute of Polar Sciences,05d49bv37,Y,Department of Earth System Science and Environmental ­Technologies (CNR-DTA)
Institute of Solar-Terrestrial Physics,012q2tk82,Y,Institute od Solar-Terrestrial Physics of the Russian Academy of Sciences|Institute od Solar-Terrestrial Physics of the RAS: Russian Academy of Sciences
Institut Pierre-Simon Laplace,02haar591,Y,IPSL|IPSL: Institut Pierre-Simon Laplace|IPSL: Institut Pierre-Simon Laplace and University of Versailles French Laboratoire Atmospheres Milieux Observation Spatiales|Differential Optical Absorp
